"year","doy","hour","SolarR","Temp","RH","WS","precip"
2016,63,22,165175003.051758,4.16475830078127,0.969499969482422,1.92550003528595,1800
2016,63,22,122159996.032715,4.27150878906252,0.972249984741211,1.71424996852875,900
2016,64,0,4546500.20599365,1.90999755859377,0.975749969482422,4.12650012969971,900
2016,64,2,-3346499.91989136,0.552758789062523,0.9825,4.62650012969971,900
2016,64,2,-3388999.93896484,0.0937438964843977,0.986499938964844,4.30324983596802,0
2016,64,4,-3388999.93896484,-0.140753173828102,0.987750015258789,3.7185001373291,0
2016,64,4,-3374749.89891052,-0.376989746093727,0.984250030517578,4.94225025177002,0
2016,64,6,-3388999.93896484,-0.632238769531227,0.968249969482422,5.1414999961853,0
2016,64,6,-3388999.93896484,-0.756994628906227,0.958499984741211,4.51300001144409,0
2016,64,8,-3388999.93896484,-0.956488037109352,0.938249969482422,4.93249988555908,0
2016,64,8,-3375000,-0.860021972656227,0.914250030517578,4.50874996185303,0
2016,64,10,-3388999.93896484,-0.968756103515602,0.9075,3.84800004959106,0
2016,64,10,-3388999.93896484,-0.983007812499977,0.868000030517578,3.58500003814697,0
2016,64,12,-3389500.1411438,-1.50449218749998,0.855749969482422,3.2407500743866,0
2016,64,12,-3333500.14686584,-2.4537414550781,0.88375,2.90149998664856,0
2016,64,14,36967498.7792969,-2.98825683593748,0.8925,2.63775014877319,0
2016,64,14,312625000,-2.32950439453123,0.844499969482422,2.87750005722046,0
2016,64,16,704250000,-1.1987365722656,0.787350006103516,2.25099992752075,0
2016,64,16,1064250000,0.197991943359398,0.736750030517578,2.2902500629425,0
2016,64,18,1.375e+09,1.01824340820315,0.719800033569336,2.62199997901917,0
2016,64,18,1337175048.82812,2.10750732421877,0.683475036621094,2.20924997329712,0
2016,64,20,1.253e+09,4.53725585937502,0.598875007629394,1.24374997615814,0
2016,64,20,1.068e+09,4.81649169921877,0.583899993896484,1.28824996948242,0
2016,64,22,1032750000,5.8332458496094,0.552224998474121,1.35474991798401,0
2016,64,22,674724975.585938,6.26198730468752,0.551800003051758,2.18674993515015,0
2016,65,0,51102748.8708496,2.0887390136719,0.707425003051758,1.84675002098083,0
2016,65,2,-2838249.92179871,0.475976562500023,0.824875030517578,1.96525001525879,0
2016,65,2,-3374749.89891052,-0.00400390624997726,0.895500030517578,2.46950006484985,0
2016,65,4,-3388999.93896484,-0.0517639160156023,0.89125,2.95099997520447,0
2016,65,4,-3388999.93896484,0.257501220703148,0.898499984741211,2.18225002288818,0
2016,65,6,-3388999.93896484,0.646997070312523,0.89625,1.67124998569489,0
2016,65,6,-3388999.93896484,1.17476806640627,0.909000015258789,1.84125006198883,0
